tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,9125674524,Ana Rodríguez,15081943,54,90,20,96,6,1,3,0,0,1,0,467,0
CE,6438261574,Daniela Cartagena,20031930,63,14,21,97,1,0,6,1,1,0,1,432,0
CC,8144755605,Daniela Martínez,22061998,73,94,8,38,4,1,4,0,0,0,1,161,1
CE,6762176058,Marcela Castaneda,25031964,48,7,92,67,4,1,4,0,1,1,1,211,1
CE,6496672910,Manuela Rodríguez,22121997,96,71,51,13,1,0,5,1,0,1,0,711,1
TI,8601634827,Melissa Rodríguez,10091946,19,49,95,78,4,0,1,0,0,0,1,787,0
CC,3628223249,Melissa García,13061940,66,91,62,78,2,0,6,0,0,1,0,77,1
TI,6559645311,Laura Hurtado,27071963,90,26,58,36,3,1,2,1,0,0,0,157,1
CC,8371840484,Manuela Murillo,27061990,88,78,97,72,3,0,4,1,1,0,1,943,1
TI,4077772103,David Rodríguez,04111988,4,13,86,37,2,0,6,0,1,1,1,118,1
CC,3404592202,Ana Cartagena,04041983,12,96,83,6,6,0,2,1,1,0,1,458,1
CC,0295418867,Sofía García,21102001,55,71,18,95,2,1,3,0,1,0,1,83,1
CC,2390494137,Melissa Cifuentes,09032001,58,17,12,13,5,0,6,0,1,0,0,532,1
TI,7895177114,Laura Perez,20021975,44,3,48,16,2,0,2,1,0,1,0,816,1
CE,7659953578,Luis Hernández,20101936,23,55,55,60,5,1,2,1,0,1,1,907,0
CE,4132478356,Marcela Rodríguez,07012007,14,33,54,100,6,1,4,0,1,1,0,705,0
TI,4185622590,Luis Castaneda,27021938,1,86,82,36,6,0,4,0,0,1,1,912,0
TI,7600527125,Sofía Castaneda,18071999,99,78,84,85,3,1,1,1,1,1,0,184,0
CC,9096662647,Melissa Murillo,18121956,71,55,52,7,5,0,3,0,0,0,0,374,1
CC,1469582078,David Murillo,08111937,27,70,64,73,2,0,5,1,0,1,0,89,0
CE,1292107743,Manuela García,26042014,63,70,55,4,6,0,2,0,0,0,0,138,1
CC,2107074833,Daniela Martínez,12061957,7,45,100,22,3,0,3,0,1,1,0,616,1
CC,2582832986,Gabriela López,18041988,45,45,59,89,6,0,3,0,0,1,0,827,1
CC,4522786007,Daniela Perez,18051936,40,24,68,41,6,1,3,0,1,0,1,557,1
TI,9598960206,Manuela Hurtado,26032003,13,29,98,65,1,0,4,0,0,0,1,948,1
CE,4700713887,Melissa Castaneda,24052005,42,84,21,86,4,0,1,0,1,1,1,462,1
CC,6032014690,Marcela Perez,18101943,66,51,56,93,4,0,2,0,1,0,0,393,0
CC,6700152921,Luis Cifuentes,19042006,91,72,48,88,6,1,6,1,0,1,0,280,1
TI,5072527294,Melissa Murillo,21011981,11,47,56,20,6,0,5,0,1,0,0,137,0
CC,1159428502,María García,08081979,1,47,24,80,2,1,1,0,1,1,0,54,1
TI,6229695334,Marcela Cifuentes,09101977,50,34,75,65,2,1,5,0,0,1,0,289,0
CE,2426961380,Laura Cartagena,23031942,41,16,96,19,2,0,5,0,0,0,1,938,0
CC,8108369952,Carlos Murillo,06071985,100,81,27,84,4,0,5,0,0,1,1,595,0
CC,2928032595,Carlos Hurtado,22091987,19,47,37,11,2,0,2,1,0,1,0,527,0
CE,6658624603,Daniela Murillo,03031936,34,58,65,89,4,1,2,0,1,0,1,995,0
CE,4434906763,Melissa Cartagena,24041949,76,71,21,86,4,1,6,0,0,0,1,270,1
CC,8521143876,Melissa García,09041979,80,54,19,85,5,1,6,0,0,0,0,473,1
CE,4785847918,Luis González,05041929,86,74,47,69,6,0,3,0,0,0,0,201,1
CE,0223638560,Daniela Hurtado,06011965,67,69,55,12,2,0,3,0,0,0,0,310,1
TI,5354474037,Miguel Rodríguez,22091937,72,90,19,89,4,1,2,1,1,1,1,49,0
TI,1509865932,Sofía Cartagena,23031968,83,2,20,1,6,1,4,0,1,1,1,39,0
TI,1970747015,David Perez,24012007,15,86,31,36,4,0,1,0,0,1,1,80,0
CC,2948264950,Carlos Cartagena,28102002,52,9,6,52,1,0,1,0,0,0,0,76,0
CC,9481315077,Luis Rodríguez,11031940,13,92,94,29,6,1,4,1,1,0,0,57,1
CE,3347435460,María Cartagena,09011934,34,65,84,99,4,0,5,0,1,1,0,159,0
CC,4064294838,Carlos Cartagena,26031933,68,18,41,35,2,0,2,0,1,0,1,624,0
CE,1517576896,Miguel Cifuentes,08011977,7,52,44,49,4,1,2,0,0,1,1,107,1
CC,8132583110,Carlos García,06101967,69,10,83,5,1,1,5,0,0,0,1,296,1
CC,8103113975,Manuela González,17091976,68,34,59,16,1,0,4,1,1,0,1,580,0
TI,6791585754,Daniela García,03021994,28,42,73,38,4,0,3,0,1,1,1,125,1
TI,3769312913,Luis Martínez,23071932,19,98,95,76,3,1,2,0,0,1,0,999,1
CE,6189492609,Manuela González,27091957,76,82,59,46,3,0,1,0,1,0,1,92,1
CE,9708327731,Luis González,07011926,87,7,5,62,5,1,4,0,0,0,0,967,0
CC,5833252722,Carlos Castaneda,21061991,12,77,92,6,3,0,6,1,1,0,1,757,1
CC,9211379439,David González,19041992,9,65,96,15,6,0,2,1,1,1,1,548,0
TI,5957330204,Juan Cifuentes,17091977,81,83,45,31,5,1,5,1,0,0,1,565,1
CE,8457098804,Laura López,07021955,81,52,95,68,3,1,3,0,0,1,1,858,1
CE,3541795380,María Rodríguez,08021944,4,72,30,100,5,1,3,0,1,0,1,501,1
TI,9215621731,María Rodríguez,08031929,38,41,22,96,4,0,6,1,0,1,0,649,0
CC,9602506131,María Cifuentes,17051950,31,55,17,76,3,0,3,0,1,0,0,955,0
CC,5107992003,Luis Murillo,21072024,47,71,87,47,6,1,5,0,1,1,0,41,0
TI,1394812690,Laura López,20031930,93,53,16,97,5,0,1,0,0,0,1,478,0
TI,9615668970,Manuela García,16101957,89,23,96,11,4,1,2,0,0,1,1,247,1
CE,9021831988,Juan Hurtado,12041953,34,84,99,14,3,0,3,1,0,1,1,681,0
CC,3149166886,Carlos Cartagena,16121959,77,27,34,88,2,0,1,0,1,0,1,624,0
CC,7967121173,Luis Martínez,16051944,53,14,8,95,2,1,4,0,0,0,1,866,1
CE,3991312767,María Martínez,06091972,15,61,14,25,3,1,5,1,0,1,0,200,1
CE,7397530651,Luis Rodríguez,15031978,62,16,56,73,3,0,4,1,1,1,0,418,1
CE,3980694742,Marcela Cifuentes,05101938,64,90,28,30,4,0,5,1,1,0,0,214,0
CC,5724364449,Ana Rodríguez,21091965,74,62,25,23,3,0,3,1,0,0,1,55,1
CC,5014105031,Sofía Murillo,02101989,72,32,73,99,4,1,2,0,0,1,1,644,0
TI,2980861310,Melissa Hernández,22031952,29,68,20,23,6,0,1,0,0,0,1,342,1
CC,7375732865,Ana Cifuentes,03011981,61,14,48,51,1,1,1,0,0,1,1,648,0
CC,9736110847,Daniela González,28061956,64,98,9,74,2,0,5,0,1,1,1,118,1
CE,6342240378,María Murillo,14021988,84,81,3,85,6,0,6,1,1,1,0,838,1
CE,3470910563,Carlos González,03112005,5,92,89,77,1,0,3,0,0,1,1,737,0
CC,9532157448,Gabriela Hernández,10021949,82,99,82,36,3,1,3,1,1,0,0,137,0
CC,6992408826,Luis González,26021984,58,9,77,54,3,1,2,1,1,1,1,856,1
TI,1482095712,David García,16111946,23,50,18,10,3,0,4,1,1,1,1,372,1
TI,8010032080,Daniela González,13112009,52,14,32,31,1,0,2,1,1,1,0,729,1
TI,1745931911,María Hurtado,08012005,7,70,70,97,3,1,1,1,1,1,1,879,1
CC,9576610383,Gabriela Hernández,02091935,72,97,83,70,4,1,5,0,1,0,1,799,1
CE,2429006916,Marcela Castaneda,16061967,33,5,23,77,3,1,1,0,1,0,0,557,0
TI,6096073746,Sofía Cifuentes,21051975,92,5,45,84,6,1,2,1,1,1,0,634,1
TI,5533212447,Carlos Cartagena,16021968,8,10,18,44,2,0,2,1,1,0,0,784,1
CE,6736660871,Ana Cartagena,21081965,43,57,8,7,2,0,1,0,1,0,0,93,0
CC,8328811779,Daniela Cifuentes,03111944,72,4,47,91,4,0,1,0,1,0,1,436,0
TI,9206614202,Gabriela Rodríguez,20011950,20,65,7,20,1,0,4,0,1,0,1,216,1
TI,2311406051,Gabriela González,11071924,22,65,96,57,2,0,6,1,1,0,0,387,0
TI,6281239335,Laura García,26122003,43,50,65,68,3,0,2,0,0,1,0,411,0
TI,3104581655,Juan Hernández,07122002,36,32,26,4,2,0,5,1,1,1,1,818,0
CE,4143447589,Manuela Martínez,03091929,25,69,30,19,3,0,2,0,1,0,0,721,1
CE,3916121715,David Hernández,06121933,64,52,89,28,6,1,2,0,1,0,1,307,0
TI,3136042074,Miguel Murillo,28021937,1,49,65,47,6,1,2,0,0,0,0,744,1
CC,5618294498,Carlos Murillo,14111976,32,52,97,92,4,1,1,0,0,1,0,945,1
CE,2884698559,Laura Murillo,09031977,58,49,53,8,4,0,4,0,1,0,1,300,1
TI,4558251141,María Castaneda,13031926,96,51,71,71,5,0,6,0,1,0,0,517,0
CE,9263872798,David González,14041955,88,52,37,65,1,1,1,0,1,1,0,948,1
CC,8801257106,Marcela González,05012003,84,58,46,35,1,1,4,0,1,0,1,892,0
CE,0949483645,Gabriela Martínez,24021931,62,46,23,51,4,0,4,1,1,0,0,178,1
