tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
CC,1589115251,Carlos González,24111987,8,67,8,6
CE,7485607106,Sofía Castaneda,02121987,15,78,15,95
CE,6875784632,David Cifuentes,24041988,85,98,85,51
CC,6075012303,Luis López,18031988,66,62,66,86
TI,3396403701,Gabriela Hernández,21121987,5,24,5,2
TI,3776702297,Sofía López,26021988,97,6,97,75
TI,4869550058,María Rodríguez,01031988,99,92,99,55
CC,0419241067,Carlos Cifuentes,13121987,95,38,95,88
CE,1616257799,Daniela Hurtado,08071988,41,99,41,62
CE,3213936157,Miguel Martínez,16091988,25,51,25,52
CE,5126381015,Ana Cartagena,21031988,52,44,52,98
CC,4300653712,Daniela Martínez,19111988,86,26,86,79
TI,1980308173,Luis Rodríguez,28011988,15,1,15,44
TI,0470677433,Sofía Hernández,02121987,19,34,19,62
CE,2205086538,Marcela Cifuentes,09081988,20,99,20,95
CE,1518755347,Sofía Hurtado,24121987,13,92,13,32
TI,8540554423,Luis Cifuentes,02041988,27,91,27,75
CC,7353973019,David López,11011988,11,40,11,67
CC,5651234076,Laura López,16051988,23,45,23,58
CE,9462406457,Melissa Cifuentes,13121987,50,1,50,16
CC,6809387169,Manuela García,12121987,95,91,95,50
TI,5035548816,Luis Martínez,21071988,97,59,97,34
TI,1491551053,Carlos Hernández,04031988,91,58,91,11
CE,8786986652,Sofía Perez,13091988,85,21,85,50
CE,4342788796,Miguel García,24021988,50,15,50,34
TI,5477995769,Sofía Castaneda,01091988,66,15,66,19
CC,1916847296,Miguel González,04111988,5,86,5,30
CE,0761425908,Luis Perez,21121987,23,92,23,77
CC,0354847987,Marcela González,24121987,17,19,17,87
TI,1991427103,Gabriela Martínez,18031988,44,31,44,50
TI,9270934637,Melissa Hernández,01041988,15,41,15,53
CE,4668369144,Sofía García,08021988,81,19,81,95
CE,4113762481,Carlos Perez,24051988,11,31,11,95
TI,5775773844,Sofía García,13121987,70,2,70,55
CE,5539664480,Miguel Cifuentes,14011988,63,54,63,94
TI,0187259932,David Hernández,15081988,85,13,85,31
