tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,declaraRenta
CE,1890832970,Manuela Castaneda,10101973,25,21,25,2,0
TI,1071012012,Carlos Perez,08031973,99,6,99,25,0
CE,8043422680,Daniela Murillo,13091973,97,1,97,65,0
TI,6132687305,Marcela Cifuentes,27011973,94,75,94,97,0
CE,4778207251,Melissa Cifuentes,17121972,19,95,19,34,0
TI,9681941355,María López,06021973,70,38,70,25,0
CE,3951375658,Manuela López,03101973,85,52,85,74,0
CC,8843696860,Melissa Cifuentes,07111972,68,29,68,73,0
CC,4779291672,Melissa Rodríguez,18021973,19,16,19,53,0
CE,0362124457,David Martínez,15011972,17,91,17,36,0
CE,1805212056,Juan Cartagena,22071973,25,87,25,11,0
CC,4301818940,David Cifuentes,21061973,85,62,85,36,0
CE,7211374716,Manuela Hernández,11101973,86,35,86,2,0
TI,4231279104,Laura Cartagena,09081973,18,21,18,41,0
TI,1517113302,Ana Hurtado,07071973,8,95,8,2,0
CE,0330546147,Sofía Rodríguez,19031972,97,58,97,47,0
CC,6371283672,Carlos López,01021972,63,62,63,90,0
CE,9551989743,Miguel Hernández,28031972,20,24,20,78,0
TI,6728462027,Miguel Perez,25021973,85,20,85,100,0
CC,7046094044,Daniela Murillo,17061972,44,13,44,36,0
CE,6071910544,Juan Murillo,03041972,44,32,44,24,0
TI,7230389099,María Castaneda,28091973,19,32,19,13,0
CE,5127520877,Melissa García,28011973,86,81,86,54,0
CE,9347560296,Sofía Murillo,26071972,23,75,23,11,0
TI,0170604916,Juan González,14081973,85,40,85,86,0
CE,9229314736,Manuela Murillo,28011973,68,44,68,65,0
TI,4901684294,Sofía González,26121972,44,74,44,47,0
CC,4604334153,Gabriela González,17021972,23,98,23,59,0
TI,8876086185,Sofía Perez,25121972,94,2,94,55,0
CC,7834075918,Daniela Perez,01021972,19,11,19,55,0
TI,9043638802,Marcela López,16081973,66,78,66,16,0
CC,0511592378,Luis Hurtado,02091971,17,10,17,95,0
TI,7570018136,Daniela Hernández,28031972,17,38,17,29,0
CC,3561063218,Juan Rodríguez,21081972,54,53,54,22,0
TI,9912046928,Miguel González,06071972,13,32,13,92,0
TI,6885323817,Juan Murillo,24041971,50,41,50,55,0
TI,4028454470,Manuela Castaneda,26041972,76,11,76,81,0
TI,3889658250,Manuela Murillo,18081973,50,83,50,73,0
CE,4777968895,Laura García,02101973,94,58,94,99,0
CE,8221979743,David González,06081972,54,52,54,51,0
CC,3309686194,María López,16071972,18,95,18,86,0
TI,1344882720,Laura Murillo,01031972,54,83,54,77,0
CC,6817017971,Laura Castaneda,18051972,11,6,11,78,0
CE,5136659182,David Perez,09111971,11,16,11,11,0
CC,2643193514,David Cifuentes,09051973,81,67,81,74,0
CC,5474228710,Gabriela Hurtado,09101972,18,40,18,3,0
CE,2833321983,Manuela Murillo,02101973,23,31,23,51,0
CE,9990463928,David Perez,26071972,70,41,70,62,0
TI,2127569712,Melissa Cartagena,02091970,44,44,44,47,0
CE,9594904778,Melissa Cifuentes,14101972,11,38,11,68,0
CE,5443713391,Luis Cifuentes,04091972,99,68,99,74,0
TI,2417142688,Miguel González,20021972,73,19,73,62,0
CC,5171044712,Gabriela Castaneda,16101972,8,32,8,30,0
TI,3003385821,Sofía Cifuentes,08121972,81,10,81,73,0
CE,1965607086,Daniela Martínez,20121972,76,58,76,50,0
CC,6865974373,Marcela Hurtado,13021972,47,34,47,75,0
CE,4428968159,Daniela Martínez,16061972,86,67,86,51,0
