tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,declaraRenta
TI,6416676119,Gabriela Perez,25051987,63,50,63,92,0
CC,7864075168,Ana Rodríguez,02071987,17,91,17,6,0
TI,3027982783,Laura García,24011987,63,20,63,81,0
CC,4795205128,Melissa Perez,15111986,50,38,50,62,0
TI,9368046080,Gabriela Cifuentes,20021987,17,87,17,77,0
CE,6537885199,Marcela Martínez,02061987,18,98,18,77,0
TI,3996390973,David Cartagena,26041987,68,21,68,99,0
CC,7102615326,Gabriela Rodríguez,20101986,52,2,52,25,0
CC,6176979964,David González,19121985,76,6,76,11,0
TI,9155661095,Juan López,20111986,17,26,17,90,0
CC,5471522494,Manuela López,01041987,11,97,11,4,0
CC,9131891683,Manuela Cifuentes,24081987,19,94,19,15,0
CE,1060910659,Gabriela Hernández,20051987,11,29,11,16,0
CE,2762217468,Marcela Martínez,06061987,95,79,95,11,0
CE,2785310124,Sofía González,02041987,50,92,50,34,0
CE,1781845760,David Cifuentes,16011986,94,10,94,1,0
CC,5656902090,Melissa Castaneda,09101986,76,58,76,32,0
CE,1342304240,Marcela Hernández,01101986,86,51,86,2,0
CC,2482974129,Gabriela García,26081986,18,31,18,42,0
CC,3485579921,Laura Cifuentes,04121985,99,65,99,95,0
TI,4899073602,María López,09051986,47,59,47,75,0
CC,8940091323,David Cifuentes,16071987,52,19,52,90,0
TI,0865952322,Juan Hurtado,15111987,52,1,52,24,0
TI,4232860846,Gabriela López,27101987,19,44,19,92,0
TI,2024567993,David Cifuentes,21121986,91,26,91,99,0
CE,3417765781,Daniela Hernández,03061986,17,75,17,31,0
TI,3394764518,Juan Hernández,04011987,70,58,70,86,0
TI,8570296984,Luis García,14111987,52,87,52,1,0
CE,3418168709,Luis Rodríguez,05081987,63,36,63,53,0
CE,3843284474,Gabriela Castaneda,16021987,17,25,17,30,0
CE,6126182266,Miguel González,26041987,8,36,8,88,0
TI,6196042243,Gabriela López,12071985,91,22,91,87,0
TI,1737730379,Daniela Hernández,12011986,88,62,88,45,0
CE,1950182579,Marcela Cifuentes,16111986,23,67,23,30,0
CE,7974339438,Ana García,06091986,25,34,25,78,0
CC,5743092846,Daniela González,18111986,18,100,18,65,0
CE,1313746200,Gabriela Hurtado,21101986,91,88,91,78,0
TI,8828190014,Manuela Murillo,22011986,27,52,27,88,0
CE,1767765149,María González,23031985,50,81,50,22,0
TI,2332302967,Manuela Cifuentes,20061985,73,26,73,50,0
CE,1160439480,Carlos Hurtado,08031986,50,38,50,83,0
TI,2548268374,Ana Castaneda,25051985,13,74,13,60,0
CC,4592066019,Marcela Perez,02071986,25,78,25,88,0
CC,3006447138,Gabriela Martínez,07011985,13,74,13,99,0
TI,3977232634,Luis Hernández,24021986,20,53,20,79,0
TI,5612749781,Marcela Cifuentes,16041986,85,68,85,6,0
CC,5484036203,Marcela Cartagena,24071987,66,20,66,31,0
CE,7192705724,David Cifuentes,28101986,95,35,95,13,0
CE,6819990840,Laura Perez,24011987,5,47,5,38,0
CC,0459697540,Manuela González,23081986,73,6,73,62,0
TI,1854776210,Sofía Cartagena,12011986,91,41,91,21,0
TI,5989413954,Sofía López,11041986,5,1,5,6,0
CC,4737694859,Daniela López,18111986,97,40,97,25,0
CE,1329872191,Daniela Murillo,04031986,44,100,44,94,0
CE,7152489441,Gabriela Castaneda,12101987,18,92,18,65,0
CE,4217381590,Luis López,07081986,88,87,88,31,0
CE,3920211911,Manuela Hernández,22031987,68,41,68,83,0
TI,3184278721,María Cartagena,10121985,15,24,15,16,0
CC,4848024649,Carlos Hernández,24111986,47,29,47,30,0
CC,0198419969,Melissa López,26121985,95,2,95,24,0
CC,8939958553,Juan López,23041987,17,58,17,52,0
CC,0095281148,Miguel López,25091986,25,92,25,25,0
TI,3424564176,Melissa Hernández,12061987,54,31,54,11,0
CE,5879830043,Luis Perez,21101985,70,45,70,2,0
CE,6598837479,Marcela García,09101985,63,6,63,97,0
CE,5927664821,David González,01031986,94,51,94,73,0
CE,9565414438,Carlos Perez,16121984,99,65,99,41,0
TI,4808726343,Juan Rodríguez,15061985,19,34,19,52,0
CC,2327552437,Daniela López,06081986,68,62,68,92,0
TI,7801254073,Melissa Murillo,04111985,8,13,8,62,0
CE,8178992421,Marcela González,13081986,11,44,11,20,0
CE,3010584827,Miguel Cifuentes,18111984,63,13,63,32,0
TI,7145011677,Ana Cifuentes,23051983,70,35,70,62,0
CE,4716833571,María Castaneda,09071985,44,87,44,54,0
CC,6910632105,Sofía García,06091985,17,16,17,74,0
CC,0926206337,Miguel Hurtado,15111985,47,59,47,42,0
CC,2133815288,Manuela Perez,06051986,44,41,44,16,0
CC,2791016152,Ana Rodríguez,20081985,44,75,44,59,0
TI,8140317025,Gabriela Hurtado,15011978,73,59,73,99,0
CC,8330970329,María Martínez,21101984,18,98,18,99,0
TI,7133109497,Carlos Castaneda,27111984,54,68,54,92,0
CC,7053377739,Sofía Hurtado,23011985,8,94,8,83,0
CE,6702570699,Luis Castaneda,14071981,41,100,41,75,0
CC,3724296154,Sofía Cartagena,06051983,94,100,94,74,0
CE,1649906984,Manuela Cartagena,10101984,85,22,85,67,0
CC,8897202431,Miguel Castaneda,22071981,68,24,68,83,0
CC,5716397703,Luis Martínez,07101985,94,32,94,20,0
TI,9323788224,Sofía Cifuentes,19021985,91,50,91,35,0
CE,0224429688,Sofía Hurtado,23121981,85,78,85,99,0
CC,1515512065,Daniela Hurtado,16051984,13,74,13,99,0
CE,3926642760,Carlos Hurtado,03011985,15,44,15,88,0
TI,5480065675,Luis González,14121984,17,2,17,3,0
CE,7139348168,David Murillo,28021986,15,62,15,36,0
CE,1726084193,Carlos López,20091986,11,75,11,25,0
CC,9900916682,Manuela López,19111987,54,86,54,40,0
CC,1231407835,Carlos Cartagena,08081984,5,47,5,26,0
CC,7683943387,Ana Castaneda,28101986,41,52,41,10,0
CE,8966440141,Juan López,24021984,97,77,97,95,0
CC,1581678150,Carlos Perez,21081985,99,16,99,95,0
CE,3973428939,Daniela Cartagena,08021985,95,42,95,26,0
TI,9139640341,Manuela Martínez,03101985,27,94,27,100,0
TI,0856706101,Laura Castaneda,23071986,68,91,68,62,0
TI,1096912172,Manuela Murillo,13091986,44,22,44,20,0
CC,9737752741,David Hurtado,22061984,95,52,95,24,0
CC,9631726322,Carlos Murillo,14031986,47,88,47,32,0
CC,0220963687,Ana Cartagena,01061985,5,100,5,45,0
CC,4067675831,Carlos Castaneda,07061986,17,15,17,93,0
CC,6585873947,María González,10051985,13,15,13,6,0
CE,0447394281,Miguel González,09011986,8,95,8,43,0
TI,2408218486,Sofía Cartagena,05021987,97,32,97,67,0
CE,1975697503,David Rodríguez,13061987,70,78,70,30,0
TI,3691210711,Carlos Rodríguez,03051984,23,73,23,79,0
CC,3182373025,Miguel Perez,06031986,54,10,54,92,0
CE,4321523337,David Perez,12021987,70,45,70,24,0
CE,6066381763,Gabriela Hernández,24121986,97,55,97,15,0
CC,9058088529,Carlos Perez,28101985,54,44,54,30,0
CC,4302956411,Miguel López,06031985,94,91,94,34,0
TI,9976123470,Ana García,08081986,15,47,15,4,0
CC,8544903915,Juan Martínez,12031987,47,22,47,83,0
CC,2762486651,Laura García,10041986,54,99,54,52,0
TI,7688082115,Carlos Castaneda,24021981,18,10,18,20,0
CE,2326501188,Sofía Cifuentes,15061987,99,45,99,42,0
CC,9983186671,Laura Hernández,18091987,5,83,5,30,0
CC,3435662831,Carlos Martínez,15061986,73,95,73,93,0
TI,6289750163,Gabriela Castaneda,05021986,97,100,97,83,0
TI,3860151188,Gabriela Hernández,25071986,52,59,52,74,0
CE,1237965418,Marcela González,11121986,63,52,63,91,0
TI,2447880907,Daniela Rodríguez,12041983,15,20,15,13,0
CE,4865307957,Melissa Perez,10121984,99,25,99,55,0
CC,9405900550,Marcela González,18011982,13,20,13,55,0
CE,7717166128,María Martínez,24111984,47,19,47,58,0
TI,3519331522,Juan Martínez,01031985,76,62,76,95,0
CE,6612567065,Juan Cartagena,19041985,27,21,27,99,0
CE,7700812639,Carlos Hernández,08111984,13,77,13,83,0
TI,6009756031,Gabriela López,11071984,17,40,17,21,0
CC,6304525797,Luis López,27081984,86,10,86,34,0
