tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
CE,1287523878,Miguel Murillo,17011961,19,19,19,87,1
TI,9124910247,Gabriela Cifuentes,01041994,19,65,19,30,1
TI,9077048261,Juan Murillo,25061926,23,68,23,29,1
TI,5457847550,Laura Perez,01061999,11,50,11,87,1
CE,7219005259,María González,07011938,52,52,52,32,1
TI,5536389626,Luis González,23021988,88,6,88,77,0
CE,6004667227,Gabriela Castaneda,10092001,11,59,11,15,1
TI,9224095644,Melissa González,24101986,94,1,94,94,1
CE,0113311459,Juan Perez,09022002,70,73,70,50,1
CE,7039817419,Luis Martínez,19111975,81,79,81,60,1
CE,5284708954,Daniela López,21071970,52,62,52,97,1
TI,7416501580,Luis Murillo,08022003,18,43,18,10,0
CE,3428303360,Sofía Castaneda,16091989,44,34,44,55,1
CC,4723805865,Laura García,23031980,44,86,44,45,0
CC,1406838681,Melissa González,23061945,25,44,25,83,1
CE,9375175647,Sofía Rodríguez,26011952,73,32,73,95,0
CC,6180558042,Laura González,21031989,17,75,17,45,1
CE,4085294438,Miguel Hurtado,25082002,97,98,97,36,1
CC,2740829200,David Cifuentes,09071972,47,13,47,11,0
TI,6045078269,Sofía Perez,20011979,66,47,66,88,1
TI,3282997965,María López,15121991,41,81,41,29,1
CC,3447085629,Melissa López,21061954,70,95,70,1,1
TI,6107171206,Luis Castaneda,19021969,86,44,86,43,1
CE,2107509618,Juan Murillo,07091992,20,53,20,32,0
TI,1678679502,Daniela Cifuentes,08101983,91,62,91,10,0
CC,1651376485,Marcela Hernández,27061978,70,95,70,6,1
TI,2178375278,David Martínez,23031958,81,30,81,59,0
CC,8841186036,Laura López,18021942,11,51,11,47,0
CE,4576339051,Marcela Rodríguez,13051983,88,32,88,25,0
CC,2760327901,Melissa García,12111996,76,44,76,26,0
TI,0567152420,María Hurtado,18081964,5,44,5,29,1
TI,1194629712,Daniela Martínez,23091986,86,35,86,35,1
CC,9216352482,Sofía Murillo,23111980,73,31,73,81,0
TI,7340866621,Luis Hurtado,02101951,5,93,5,6,1
TI,4599612446,David Hurtado,09121987,8,75,8,65,1
CE,5734832589,Ana López,18121929,11,60,11,52,0
